Title,Author
Playing to Win ,A.G. Lafley 
The Upside ,Adrian J. Slywotzky 
Profit Patterns,Adrian J. Slywotzky 
How to grow when Market's Don't,Adrian Slywotzky & Richard Wise
The Origin of Brands ,Al & Laura Reis 
The 22 Immutable Laws of Branding ,Al Reis and Laura Reis 
Focus (The Future of Your Company Depends on it),Al Ries
Grit the Power of Passion and Perservance ,Angela Duckworth 
BRAND is a four letter word: Positioning and the Real Art of Marketing ,Austin McGhie 
The Paradox of Choice ,Barry Schwartz 
Business War Games ,Benjamin Gilad 
The Chaos Scenario ,Bob Garfield 
Trillion Dollar Moms ,Bonnie Ulman 
Mindless Eating: Why We Eat More Than We Think ,Brian Wansink 
Why She Buys ,Bridget Brennan 
Understanding Michael Porter ,by Joan Magretta 
How Brands Grow Parts 1 & 2 ,Byron Sharp 
Power of Habit ,Charles Duhigg 
Winning with the P&G 99 (99 Principles & Practices of Procter & Gamble Success),Charles L. Decker
Made to Stick: Why Some Ideas Survive and Others Die ,Chip Heath and Dan Heath 
The Invisible Gorilla: How Our Intuitions Deceive Us ,Christopher Chabris and Daniel Simons 
Predictably Irrational ,Dan Ariely 
Emotionomics ,Dan Hill 
Primal Leadership,Daniel Goleman
Thinking Fast and Slow ,Daniel Kahnemen 
Do the KIND Thing ,Daniel Lubetzky (Founder & CEO of KIND) 
When: The Scientific Secrets of Perfect Timing ,Daniel Pink 
Behavioral Marketing ,Dave Walters 
Brand Portfolio Strategy,David A. Aaker
Brand Relevance: Making Competitors Irrelevant ,David A. Aaker 
Spanning Silos: The New CMO Imperative ,David A. Aaker 
"Social Media: Strategies to Mastering Your Brand: Facebook, Instagram, Twitter and Snapchat ",David Kelly 
Borrowing Brilliance ,David Kord Murray 
The Brain Sell: When Science Meets Shopping ,David Lewis 
Longaberger,David Longaberger
Ogilvy on Advertising ,David Ogilvy 
Brick by Brick: How LEGO Rewrote the Rules of Innovation and Conquered the Global Toy Industry ,David Robertson 
The Seven Spiritual Laws of Success ,Deepak Chopra 
What Great Brands Do: The Seven Brand-Building Principles that Separate the Best from the Rest ,Denise Lee Yohn 
Unconscious Branding ,Do  Duglas Van Praet 
Jumpstart your business Brain,Doug Hall
Ideation: The Birth and Death of Ideas ,Douglas Graham and Thomas T. Bachmann 
The Firm: The Story of McKinsey and Its Secret Influence on American Business ,Duff McDonald 
Theory of Constraints ,Eliyahu M. Goldratt 
The Anatomy of a Buzz,Emanual Rosen
The Branded Mind ,Erik Du Plessis 
The McKinsey Way ,Ethan M. Rasiel 
McKinsey Mind ,Ethan M. Rasiel and Paul N. Friga 
Trust,Francis Fukuyama
The Media Effect: What Elephants and Epidemics Can Teach Us About Innovation ,Frans Johansen 
The Myth of Excellence,Fred Crawford & Rhyan Matthews
Presentation Zen ,Garr Reynolds 
Rules for Revolutionaries(Capitalist Manifesto for creating & marketing ew products and services),Gary Kawasaki
The Six month Fix: Adventures in Rescuing Failing Companies ,Gary Sutton 
"Jab, Jab, Jab, Right Hook ",Gary Vaynerchuk 
Metaphorically Speaking,Gerald Zaltman
Neuroelectrical Brain Imaging Tools for the Study of the Efficacy of TV Advertising Stimuli and their Application to Neuromarketing ,"Giovanni Vecchiato, Patrizia Cherubino, Arianna Trettel and Fabio Babiloni "
Chief Culture Officer ,Grant McCracken 
The Top Ten Mistakes Leaders Make,Hans Finzel
Value-Based Pricing ,Harry Macdivitt and Mike Wilkinson 
"Value-Based Pricing: Drive Sales and Boost Your Bottom Line by Creating, Communicating and Capturing Customer Value ",Harry Macdivitt and Mike Wilkinson 
"Marketing Turnarounds: A Guide to Surviving Downturns and Rediscovering Growth"" ",Hooman Estelami 
Absolute Value ,Itamar Simonson and Emanuel Rosen 
Hug Your Customer,Jack Mitchell
Big Brands Big Trouble: Lessons Learned the Hard Way,Jack Trout
Positioning ,Jack Trout and Al Ries 
Re-Positioning ,Jack Trout and Steve Rivkin (Tivkin)
Differentiate or Die ,Jack Trout and Steve Tivkin (Rivkin)
"Smart Pricing: How Google, Priceline, and Leadig Businesses Use Pricing Innovation for Profitability ",Jagmohan John Raju and John Z. Zhang 
The Knowledge Based Organization,James A. alexander & Michael C. Lyons
Built to Last,James C. Collins
Dangerous Company,James O'Shea&Charles Madigan
Concepting ,Jan Rijkenberg 
Street Trends,Janine Lopiano & Joanne DeLuca
The Designing for Growth Field Book: A Step-by-Step Project Guide ,Jeanne Liedtka 
Marketing to Millennials ,Jeff Fromm and Christine Garton 
How to Become a Rainmaker,Jeffery J. Fox
The Big Ten,Jeffrey E. Garten
Good to Great (Why companies that are built to last under perfomr the Market),Jim Collins
Good to Great ,Jim Collins 
Good to Great: Why Some Companies Make the Leap and Others Don't ,Jim Collins 
Built to Last: Successful Habits of Visionary Companies ,Jim Collins 
What Every Body is Saying: A Ex-FBI Agent's Guide to Speed Reading People ,Joe Navarro 
"Epic Content Marketing: How to Tell a Different Story, Break Through the Clutter and Win More Customers by Marketing Less ",Joe Pulizzi 
The Art of Creative Thinking ,John Adair 
The 17 Essential Qualities of a Team Player,John C. Maxwell
Failing Forward,John C. Maxwell
Brand Against the Machine ,John Michael Morgan 
The Ultimate Secrets of Advertising ,John Philip Jones 
"Social Media Marketing Strategies For Rapid Growth Using:Facebook, Twitter, I_n_s_t_a_g_r_a_m_,_ _L_i_n_k_e_d_I_n_,_ _P_i_n_t_e_r_e_s_t_ _&_ _Y_o_u_t_u_b_e_Ó _",John Williams 
Marketing Outrageously (Cheat Sheet) ,Jon Spoelstra 
Contagious ,Jonah Berger 
Contagious: Why Things Catch on ,Jonah Berger 
How We Decide ,Jonah Lehrer 
Brand vs. Wild: Building Resilient Brands for Harsh Business Environments ,Jonathan David Lewis 
Life After the 30 Second Spot ,Joseph Jaffe 
Join the Conversation ,Joseph Jaffe 
The Road to Reinvention ,Josh Linkner 
Outthink the Competition ,Kaihan Krippendorff 
Viral Marketing: The Science of Sharing ,Karen Nelson-Field 
Brand Turnaround: How Brands Gone Bad Returned to Glory and the 7 Game Changers that Made the Difference ,Karen Post 
The Mind of the Strategist ,Kenichi Ohmae 
Thinking Inside the Box,Kirk Cheyfitz
The Game Changer ,Lafley and Charan 
"The Psychology of Price: How to Use Price to Increase Demand, Profit and Customer Satisfaction ",Leigh Caldwell 
The Cluetrain Manifesto,"Levine, Locke, Searls, & Weinberger"
The Power of Nice: How to Conquer the Business World with Kindness,Linda Kaplan Thaler and Robin Koval
Don't Think Pink ,Lisa Johnson and Andrea Learned 
"Hey Whipple, Squeeze This! ",Luke Sullivan 
"Notes from ""Blink"",",Malcolm Gladwell
The Tipping Point ,Malcolm Gladwell 
Strategic Transformation Ð _Changing While Winning ,"Manuel Hensmans, Gerry Johnson, George Yip "
The Global Brand CEO: Building the Ultimate Marketing Machine ,Marc DeSwaan Arons and Frank Van Den Driest 
The Hero and the Outlaw: Building Extraordinary Brands Through the Power of Archetypes ,Margaret Mark and Carol S. Pearson 
Social Media Explained: Untangling the World's Most Misunderstood Business Trend ,Mark W. Schaefer 
Marketing to Women ,Marti Barletta 
Agile Business for Fragle Times,Mary Pat McCarthy & Jeff Stein
Brand Failures: The Truth About the 100 Biggest Branding Mistakes of All Time ,Matt Haig 
Branded! ,Michael Conroy 
Getting it Right the Second Time,Michael Gershman
